element,usm_NE,s18_NE,usm_spring,s18_spring,usm_SW,s18_SW,usm_autumn,s18_autumn
Ca,1850,1580,1680,980,925,568,337,415
Mg,255,271,1430,208,1420,307,76.2,110
Fe,370,178,105,150,147,202,139,203
Zn,203,391,323,387,235,382,244,303
Cu,0,0,32,0,0,0,0,38
Mn,15.2,13.2,15.2,0,0,0,0,0
Ni,34.4,12.2,0,84,0,28.9,14,19
Pb,148,287,177,184,0,0,0,0
Cd,0,18.6,0,0,0,0,0,0
Be,0,0,0,0,0,0,0,0
